cd_representante;nm_representante;cd_cliente;nm_cliente;nm_cidade;nr_pedido;dt_emissao;dt_entrega;vl_pedido;qt_produto;vl_unitario;vl_item;cd_produto;nm_produto;ps_unitario;familia_produto
19;"DISCAM COMERCIO E REPRES. LTDA.";2569;"CADIMENSE  EMBALAGENS E DESC.LTDA - EPP";"SAO PAULO";615785;2010-09-10;2010-09-17;NULL;30.00;33.22;996.60;94374;"COPO CP330TL003/1 1000UC - ABNT";3.630;COPO
19;"DISCAM COMERCIO E REPRES. LTDA.";2569;"CADIMENSE  EMBALAGENS E DESC.LTDA - EPP";"SAO PAULO";615786;2010-09-10;2010-10-08;NULL;5.00;47.15;235.75;2194;"TAMPA TS55TE_01 1000UC";1.650;TAMPA
19;"DISCAM COMERCIO E REPRES. LTDA.";2569;"CADIMENSE  EMBALAGENS E DESC.LTDA - EPP";"SAO PAULO";615786;2010-09-10;2010-10-08;NULL;3.00;65.45;196.35;65765;"TAMPA TP100B0003 BRANCO  C/ MANGA 1000UC";3.300;TAMPA
19;"DISCAM COMERCIO E REPRES. LTDA.";2569;"CADIMENSE  EMBALAGENS E DESC.LTDA - EPP";"SAO PAULO";615786;2010-09-10;2010-10-08;NULL;5.00;107.89;539.45;81353;"POTE PP500B0004/2 1000UC";6.500;POTE
19;"DISCAM COMERCIO E REPRES. LTDA.";2569;"CADIMENSE  EMBALAGENS E DESC.LTDA - EPP";"SAO PAULO";615786;2010-09-10;2010-10-08;NULL;5.00;64.67;323.35;92916;"TAMPA TT79/1 2000UC TRANSP SEM FURO";2.800;TAMPA
19;"DISCAM COMERCIO E REPRES. LTDA.";2569;"CADIMENSE  EMBALAGENS E DESC.LTDA - EPP";"SAO PAULO";615786;2010-09-10;2010-10-08;NULL;30.00;33.22;996.60;94374;"COPO CP330TL003/1 1000UC - ABNT";3.630;COPO
19;"DISCAM COMERCIO E REPRES. LTDA.";8303;"SHIMAPEL COM.REPRES.LTDA.";"SAO PAULO";615515;2010-09-08;2010-09-15;NULL;10.00;36.60;366.00;73288;"COPO CP330TL003 1000UC LISO";4.000;COPO
19;"DISCAM COMERCIO E REPRES. LTDA.";8303;"SHIMAPEL COM.REPRES.LTDA.";"SAO PAULO";615515;2010-09-08;2010-09-15;NULL;5.00;47.30;236.50;73490;"COPO CP200BES/ABNT 2500UC LINHA OURO";5.500;COPO
19;"DISCAM COMERCIO E REPRES. LTDA.";8303;"SHIMAPEL COM.REPRES.LTDA.";"SAO PAULO";615515;2010-09-08;2010-09-15;NULL;10.00;47.30;473.00;89427;"COPO CP200TES/ABNT 2500UC LINHA OURO";5.500;COPO
19;"DISCAM COMERCIO E REPRES. LTDA.";18058;"MAKRO ATACADISTA S.A.";FORTALEZA;615553;2010-09-06;2010-09-30;NULL;2.00;84.98;169.96;6769;"COPO CP300B/ABNT/FMT/1-CX 2000UC";6.600;COPO
19;"DISCAM COMERCIO E REPRES. LTDA.";18058;"MAKRO ATACADISTA S.A.";FORTALEZA;615553;2010-09-06;2010-09-30;NULL;3.00;84.98;254.94;90824;"COPO CP300B/ABNT/FMT 2000UC FORMATTO";6.600;COPO
19;"DISCAM COMERCIO E REPRES. LTDA.";18058;"MAKRO ATACADISTA S.A.";FORTALEZA;615553;2010-09-06;2010-09-30;NULL;8.00;48.48;387.84;90859;"COPO CP330T/ABNT/ARO 1000UC ARO";3.630;COPO
19;"DISCAM COMERCIO E REPRES. LTDA.";18058;"MAKRO ATACADISTA S.A.";FORTALEZA;615553;2010-09-06;2010-09-30;NULL;2.00;88.14;176.28;98779;"COPO CP200T/ABNT/ARO 3000UC";6.600;COPO
19;"DISCAM COMERCIO E REPRES. LTDA.";24198;"MAKRO ATACADISTA S.A.";RECIFE;615546;2010-09-06;2010-09-28;NULL;4.00;59.65;238.60;4863;"COPO CP180BES/ABNT/FMT 2500UC";4.950;COPO
19;"DISCAM COMERCIO E REPRES. LTDA.";24198;"MAKRO ATACADISTA S.A.";RECIFE;615546;2010-09-06;2010-09-28;NULL;3.00;84.98;254.94;6769;"COPO CP300B/ABNT/FMT/1-CX 2000UC";6.600;COPO
